location,date,description,image,map,tags
Estes Park CO,05/04/2025,"I spent a long weekend biking around Estes Park and Rocky Mountain NP. I could spend years. The views are amazing, the climbs are incredible, and the trails are endles.",/assets/img/brags/EstesPark-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2207993769/embed?share_token=aoEuoMHUkZYgpbCgQsbeO0lkSSh68C4lNpMVHeRFQ8ZiNN2f7u&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Jekyll Island GA,04/07/2025,"Jekyll Isand has become one of my favorite stops down I95. The ride is flat and supre relaxing, but the views are 100% worth it.",/assets/img/brags/JeklyllIsland-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2144671774/embed?share_token=agmvgOYSTw1XjD3sOGySQcSJXrxYHHsGTSTHMDJdYvh2Lacpqm&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Punta Gorda FL,04/06/2025,Great rides in Punta Gorda. Fantastic way to bring in spring.,/assets/img/brags/PuntaGorda-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2139815871/embed?share_token=a86ED2mhATSwoG164IZfkD81UIIE5NtbKYWprqrnofCpN46SwE&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Gainesville FL,04/03/2025,"A quick stop on the way further south in Florida, but a nice early morning ride with a palm tree view.",/assets/img/brags/Gainesville-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2134527808/embed?share_token=ayNu4f7UWKZTDPHUEG05sQuPaEmOImsPe3Xx5dm2R28tIoOm2V&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Florence AL,04/02/2025,First time in Florence. The downtown is pretty cool. The ride from outside of town to downtown was kinda boring.,/assets/img/brags/Florence-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2132513273/embed?share_token=a23gahYjgomofdap3hfbdAhoMCCsTacyncOvoDaKUZIT3bgm99&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Duck NC,03/14/2025,A half dozen great rides during a long weekend in Duck. YAY!,/assets/img/brags/Duck-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2097936434/embed?share_token=aDJWjl5ImPa2OekVgXiUlv59fI13nV8sECUSuhb7hrEz6Dyf4w&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Fredrick MD,03/09/2025,Frederick is a cool twon. Any ride around here that allows me to run thru dwontown is a win.,/assets/img/brags/Frederick-2025.jpg,"<iframe src=""https://www.komoot.com/tour/2091043349/embed?share_token=aa6DyY6mH4b1kj2B2e1fbDDXDudj6BiPDaoQiybMr3PXD8VYBi&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Blackwater WV,10/22/2024,,/assets/img/brags/BlackWater-2024.jpg,"<iframe src=""https://www.komoot.com/tour/1923576285/embed?share_token=aICwDlI0z5RE2uplLy3L1YEwtpb0htLKkolxmx5D1zysZXZ7U4&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Harpers Ferry WV,10/10/2024,Harpers Ferry is a bike riders paradise.,/assets/img/brags/HarpersFerry-2024.jpg,"<iframe src=""https://www.komoot.com/tour/1893921012/embed?share_token=atH4beAyLPQS7MRU7cchPgTSwc3STgOPYrGlbwqKYuaSX5k5NN&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Banff NP,09/02/2024,"While we were climbing the mountain to Lake Moriaine, I couldn't stop saying ""Hell yes"" outloud., ",/assets/img/brags/Banff-2024.jpg,"<iframe src=""https://www.komoot.com/tour/1836334613/embed?share_token=a4df4LZwZ46vs18jfPu8J7l1vwO2EadOkSWV6XQLWt5YLPsLtY&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Chicoteague Island VA,04/28/2024,,/assets/img/brags/Chicoteague-2024.jpg,"<iframe src=""https://www.komoot.com/tour/1538340326/embed?share_token=aR9prHVXw5PesqFKzbHSToiXtvNvS1z8TH3miyiZkOYx3sk6GT&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
San Juan PR,04/03/2024,Took my foldable bile on a cruise. Took it off for a great ride in San Juan.,/assets/img/brags/SanJuan-2024.jpg,"<iframe src=""https://www.komoot.com/tour/2518083481/embed?share_token=agMhIxnX8lqPGtfFI7XB3HzycAjeZ8FqgNid8VXyC461bw7b4P&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Whitefish MT,09/19/2023,,/assets/img/brags/Whitefish-2023.jpg,"<iframe src=""https://www.komoot.com/tour/1315825826/embed?share_token=a1pFwOEKcLhL3ziS29QdrzY0U5bfG3y0CrVAGEkNPXGQ7HKLwV&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
"Skagway, AK.",06/15/2023,,/assets/img/brags/Skagway-2023.jpg,"<iframe src=""https://www.komoot.com/tour/2518276097/embed?share_token=aIi4ybiSQ149ywoVrHu0h4iTRmdAZtZNKVL7cTEhTrvq4HJoy8&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Ketchican AK,06/13/2023,BUCKET LIST RIDE!!! Never in my life did I think I'd ride a bicycle in Alaska.,/assets/img/brags/Ketchican-2023.jpg,"<iframe src=""https://www.komoot.com/tour/2518238888/embed?share_token=aZfUdNSMD4WkeeWpKdQItSjQrCdhSOXs4mpMtKxHy89FhgrR5C&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Mount Rainer NP,06/10/2023,,/assets/img/brags/MountRainier-2023.jpg,"<iframe src=""https://www.komoot.com/tour/1160700292/embed?share_token=aco2rU2NGgIPDKrEjWEiAprYfjAUZTqW2ioqvzE4Z0CS8Z7uJF&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Cannon Beach OR,06/09/2023,BUCKET LIST RIDE!!! I just have 2 words to say...The Goonies!,/assets/img/brags/CannonBeach-2023.jpg,"<iframe src=""https://www.komoot.com/tour/2518216851/embed?share_token=aM6oljVCynFBmwY0AazIZmSypfSeJRkcE8Q3m0UZg45S5WhAJh&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Port Angeles OR,06/07/2023,,/assets/img/brags/PortAngelis-2023.jpg,"<iframe src=""https://www.komoot.com/tour/2518226823/embed?share_token=aibhFsodNInNhp5N7NtuL7QQ2fyrmHrHnfUWbp9FDXwazhdQYC&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Zion NP,09/16/2022,"BUCKET LIST RIDE!!! Thru Springdale, into Zion, Up and down the switchbacks to the tunnel, along the Virgin River to the top of the climb. Every second of this ride was jaw dropping.",/assets/img/brags/Zion-2022.jpg,"<iframe src=""https://www.komoot.com/tour/2518091159/embed?share_token=afSs6bemrZzyO829oZwiJP9vOiRr2GKWKkjt0RPhJx620mEzbl&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Sanibel Island FL,09/08/2022,,/assets/img/brags/Sanibel-2022.jpg,"<iframe src=""https://www.komoot.com/tour/918715000/embed?share_token=aTVKV0fc6zULbfb6z0oMy8SxKnRIeTA3AYs365tR53JIPrQpdl&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Key West FL,09/05/2022,,/assets/img/brags/KeyWest-2022.jpg,"<iframe src=""https://www.komoot.com/tour/917020763/embed?share_token=aZy2dnL8a9XVE19b6t9Hr9Kgi2KMibWW5E8OqOanYstIa3jdaW&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Florida Keys,09/04/2022,BUCKET LIST RIDE!!!! I. RODE. THE. FLORIDA. KEYS!!!,/assets/img/brags/FloridaKeys-2022.jpg,"<iframe src=""https://www.komoot.com/tour/928599322/embed?share_token=aqiMDh4jKhVaLM8iM6XDllkUTq8LCz9wzK5teXzIdhUuTabeyM&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Treasure Island FL,09/02/2022,,/assets/img/brags/TreasureIsland-2022.jpg,"<iframe src=""https://www.komoot.com/tour/2518297824/embed?share_token=aINYK76lwJOF8w710MM7OCPFP06CwkRitJCqycIkNG8icvxtlD&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Northern Italy,05/19/2019,"BUCKET LIST WEEK!!!! I rented a camper van and a bike and followed the Giro D'Italia around for 7 days. I visited Lake Como, tayed in a vineyard in the Piedmont and rode some of the coolest roures I've ever ridden!!!",/assets/img/brags/Giro-2019.jpg,"<iframe src=""https://www.komoot.com/tour/2518100557/embed?share_token=aQRP2f7XIlRT0MlACKwPUBt4r82sGVGZJ0P3jECLcajanEogzb&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Richmond VA,09/24/2015,BUCKET LIST WEEK!!!! This was the week Peter Segan rode the Worlds in my hometown! AWESOME!!!!!,/assets/img/brags/Worlds-2015.jpg,"<iframe src=""https://ridewithgps.com/embeds?type=route&id=10810704&sampleGraph=true"" style=""width: 1px; min-width: 100%; height: 700px; border: none;"" scrolling=""no""></iframe>",
