location,date,description,image,map,tags
Estes Park CO,05/04/2025,"I spent a long weekend biking around Estes Park and Rocky Mountain NP. I could spend years. The views are amazing, the climbs are incredible, and the trails are endles.",https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/495091299_10163389566022658_6922843934908407894_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=105&ccb=1-7&_nc_sid=f727a1&_nc_ohc=NCyYwbn59r8Q7kNvwHTZ8ai&_nc_oc=Adm2yohiNo-0-UygbehYmR11iTDEHNEHJmuhvbnd7pEsp9ecC1AP2HlvOHu8e82vvtjxb2U1RVdwEC1A3-dY5c1E&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=p9_o8gC3oXJLBBYMtjJ22Q&oh=00_AfXtAgBpj9YSKS-y0wrkDOV3oEId6sk2y1tVvsMSBMQWnQ&oe=68AD44F6,"<iframe src=""https://www.komoot.com/tour/2207993769/embed?share_token=aoEuoMHUkZYgpbCgQsbeO0lkSSh68C4lNpMVHeRFQ8ZiNN2f7u&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Jekyll Island GA,04/07/2025,"Jekyll Isand has become one of my favorite stops down I95. The ride is flat and supre relaxing, but the views are 100% worth it.",https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/489041467_10163272499652658_752533699608419012_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=f727a1&_nc_ohc=F1jNvhjNxkUQ7kNvwFwLoL-&_nc_oc=Admpp1abDlzv2723_fWIXjTsAEsiAL8qWcRuqaB681K9Jz1Y1CNTXwsyKsZzAaQMXjh3rS1O7uYma3mLE5tOil3a&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=r27GjrRgesIAn44_uOj92g&oh=00_AfXY-Lp-q9vJ32yQB9_hK6ovAFX5orI3_bKo9n-jujbQBw&oe=68AD35F5,"<iframe src=""https://www.komoot.com/tour/2144671774/embed?share_token=agmvgOYSTw1XjD3sOGySQcSJXrxYHHsGTSTHMDJdYvh2Lacpqm&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Punta Gorda FL,04/06/2025,Great rides in Punta Gorda. Fantastic way to bring in spring.,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/489053214_10163266911062658_5137242573744588807_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=f727a1&_nc_ohc=7YK4gc9dmfEQ7kNvwHzynSm&_nc_oc=AdmaYX9JQYb_XxtWk3Mr9bX_u_fpa_YseWpRh7ZfpTBvg2Lu4PSVlR4ed-d-nbvPumTfmMcErwXeZNbUBnMbl50D&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=YlBK22yL7rzaqsBcqnLgng&oh=00_AfUFoLRIXwKz0h3cc7j-HsdlWtXYZn6cq6tcTvG9LRG2Bg&oe=68AD583E,"<iframe src=""https://www.komoot.com/tour/2139815871/embed?share_token=a86ED2mhATSwoG164IZfkD81UIIE5NtbKYWprqrnofCpN46SwE&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Gainesville FL,04/03/2025,"A quick stop on the way further south in Florida, but a nice early morning ride with a palm tree view.",https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/488423280_10163252858292658_3497083443438049923_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=f727a1&_nc_ohc=mr2_X2M6aAUQ7kNvwHhG_-D&_nc_oc=AdkRadHdtelHNzaH18FitR8VkVvIyE9IHuTG2oU3vPfHeJCqbWPRo2WzIS5OA6DCyieZcwJufSrpsH0_ubp1x1fy&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=Q31PTvZhxZS4frG4uCjaPA&oh=00_AfUIY3aMxVzd3YwIGUIv_BsmbVqydU4XbkrcdlyAGlZAoA&oe=68AD6974,"<iframe src=""https://www.komoot.com/tour/2134527808/embed?share_token=ayNu4f7UWKZTDPHUEG05sQuPaEmOImsPe3Xx5dm2R28tIoOm2V&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Florence AL,04/02/2025,First time in Florence. The downtown is pretty cool. The ride from outside of town to downtown was kinda boring.,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/487700390_10163248557832658_6729249300704956849_n.jpg?stp=cp6_dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=f727a1&_nc_ohc=sUZGPXBm_YwQ7kNvwE7XbST&_nc_oc=Adk2xPZnVkbh8LPKpOEcY9qDQ2gZt20gMNbVv_t2EcrNgmcjnxS_AaSLbUGj5bDrnuPVk5qbxAmIScN0eHRA9w1y&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=JG82h8eKUkT5K5kTMDvO0Q&oh=00_AfWZTj9ZTvhvvM9hEeiMIqx_TyN0_La0GHchwHbyUtSH7w&oe=68AD45E0,"<iframe src=""https://www.komoot.com/tour/2132513273/embed?share_token=a23gahYjgomofdap3hfbdAhoMCCsTacyncOvoDaKUZIT3bgm99&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Duck NC,03/14/2025,A half dozen great rides during a long weekend in Duck. YAY!,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/487463927_10163248555862658_6224531436199231053_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=f727a1&_nc_ohc=pLLhM04QSRsQ7kNvwGJ8zmh&_nc_oc=Adk7mu3J1bqwmWCmHO4FgJMW1QLUABbMMegr--6yxQ4LWWQVyYR_DylWRy4WVQZz3iD71ZepFZm6wydpCR_PDmK8&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=HZO6Vc9-0nNLbCC30YuS-w&oh=00_AfUhM7YzvQ4e7lqgQu2lO34CPthmOC7D9PECZBmvpTTjng&oe=68AD4D1A,"<iframe src=""https://www.komoot.com/tour/2097936434/embed?share_token=aDJWjl5ImPa2OekVgXiUlv59fI13nV8sECUSuhb7hrEz6Dyf4w&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Fredrick MD,03/09/2025,Frederick is a cool twon. Any ride around here that allows me to run thru dwontown is a win.,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/488241997_10163248781472658_7754769103667595836_n.jpg?stp=cp6_dst-jpegr_tt6&_nc_cat=106&ccb=1-7&_nc_sid=f727a1&_nc_ohc=-1DVn5gFkcYQ7kNvwH6OHUl&_nc_oc=AdmkxL4hjOuO-s5VettdU27nfMsCVdLO6nsAogM6ziDhytf7BxLPYOVxLtmGtuEiHGFLhfYgZyNhVfxCfMqBpnJ4&_nc_zt=23&se=-1&_nc_ht=scontent-iad3-2.xx&_nc_gid=KqGb70rRqehEVE7EXkoCwA&oh=00_AfW7c2L16vJZg5_9MzZ4vTyTgT_O_WvOqZ3IFYydtiKfrw&oe=68AD5399,"<iframe src=""https://www.komoot.com/tour/2091043349/embed?share_token=aa6DyY6mH4b1kj2B2e1fbDDXDudj6BiPDaoQiybMr3PXD8VYBi&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Harpers Ferry WV,10/10/2024,Harpers Ferry is a bike riders paradise.,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/516808101_10163744012517658_3365438792234748398_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_ohc=8Hz5NRQpSisQ7kNvwFThlhG&_nc_oc=AdkPCqq3ae2XK29wCyGPZuSTvz-wddCERqy-3ETQuhR7pVC68gFM__1MvFzk4t9aDCxZNFsUSQvpOfZCfszbqFog&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=5yho_wcEXQ4Wc3D8JF5_2g&oh=00_AfWygkMA0Mejd24vRWbCN2TUDtMND12SSAtxmnQsp65BjQ&oe=68AD98D6,"<iframe src=""https://www.komoot.com/tour/1893921012/embed?share_token=atH4beAyLPQS7MRU7cchPgTSwc3STgOPYrGlbwqKYuaSX5k5NN&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Banff NP,09/02/2024,"While we were climbing the mountain to Lake Moriaine, I couldn't stop saying ""Hell yes"" outloud., ",https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/517021082_10163728105032658_8593755428776055427_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=f727a1&_nc_ohc=a-6kqUfivFIQ7kNvwG5klU8&_nc_oc=Adl-MpnUd1auR0rFMsbZIJ1xa1O9GvFB5pJppNQg4bO2mqwyTKD-caXY1iqOwouN31B78yLXgiqQQVWVxvSmn36d&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=eogYVGcYM3vYAWea_mJQZg&oh=00_AfXEyKdqgv9bKbTy3bY3ypf19Ib93N7fYHMGVwOzx3k4gg&oe=68AD7FA0,"<iframe src=""https://www.komoot.com/tour/1836334613/embed?share_token=a4df4LZwZ46vs18jfPu8J7l1vwO2EadOkSWV6XQLWt5YLPsLtY&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Chicoteague Island VA,04/28/2024,,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/516864921_10163711342712658_1967704567675650176_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=f727a1&_nc_ohc=mZORAbkWfowQ7kNvwG0eS9e&_nc_oc=AdlekvtkijgA6ykk5ZQhxRkDSkIDHBgv-5aUXtA6mlLQ69FlgiPdYB_57lsxB6Qzdxv_hi6jRS3FVKQiFKQkRDYC&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=UUfcTFN0srKiEUKz2GHZXQ&oh=00_AfUD8gPr_V6jjI-qb1lg6VtjdTJ5eXOvkuatpMau-0ZLVg&oe=68ADBC26,"<iframe src=""https://www.komoot.com/tour/1538340326/embed?share_token=aR9prHVXw5PesqFKzbHSToiXtvNvS1z8TH3miyiZkOYx3sk6GT&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
"San Juan, Puerto Rico",04/03/2024,Took my foldable bile on a cruise. Took it off for a great ride in San Juan., https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/515544747_10163709566932658_2476152619244940031_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=f727a1&_nc_ohc=rkLH1pEbpHAQ7kNvwHZpafo&_nc_oc=Adk0wIXTiREoki17LpVmbI_zESlQhcF56FepsB-S4ZLDT-bISuSuk8zBR_tVnLNcQm1CN2iORMCXeqtcuDSG36S7&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=gAc2uMbWytb4kyqLM8yLVg&oh=00_AfXvzNby0-Xsl6O8G2drZiSnQnxhOuJdAyD-hP08667FLA&oe=68ADB424,"<iframe src=""https://www.komoot.com/tour/2518083481/embed?share_token=agMhIxnX8lqPGtfFI7XB3HzycAjeZ8FqgNid8VXyC461bw7b4P&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Whitefish MT,09/19/2023,,https://scontent-lga3-2.xx.fbcdn.net/v/t39.30808-6/514694449_10163687284092658_6722330101386104852_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=f727a1&_nc_ohc=qEkoPkmsYa0Q7kNvwG8RIsU&_nc_oc=Adnv01RpURnISowVurMBSzng1f85wq3qaTk7Dt7eoY6j3-N0d5YIOPyrKS63AEkIZPAYSm7E5HRw8x9m5Q2WDV0U&_nc_zt=23&_nc_ht=scontent-lga3-2.xx&_nc_gid=1vkar6Xac2EXIVAWP7VWTQ&oh=00_AfXbBTf3qyqsW0iovEsV8rLIBEitI81HQ2iTwWwifDiGLw&oe=68ADC0F0,"<iframe src=""https://www.komoot.com/tour/1315825826/embed?share_token=a1pFwOEKcLhL3ziS29QdrzY0U5bfG3y0CrVAGEkNPXGQ7HKLwV&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
"Skagway, AK.",06/15/2023,,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/514395332_10163674754332658_3437077352700152108_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=f727a1&_nc_ohc=Xtodl_EuZfAQ7kNvwFSxI_5&_nc_oc=Adkw56dbJrJwVB3QOjDAOdzY7iDMmp3CLMwfM8BKXjD7agcMT4ff82a2mG74QAKRYURAO1SIWUVJlRxzVCuT65nG&_nc_zt=23&_nc_ht=scontent-iad3-2.xx&_nc_gid=xaXYg2G7D0Eu4WwyytmFFg&oh=00_AfWsaral7AR-qBEhaqxEvey6gNtBMAx7lCKbJwNv4LARVg&oe=68AEB134,"<iframe src=""https://www.komoot.com/tour/2518276097/embed?share_token=aIi4ybiSQ149ywoVrHu0h4iTRmdAZtZNKVL7cTEhTrvq4HJoy8&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Ketchican Alaska,06/13/2023,BUCKET LIST RIDE!!! Never in my life did I think I'd ride a bicycle in Alaska.,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/515509670_10163674470342658_4403038060157674386_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=f727a1&_nc_ohc=-bwbUtkviZ8Q7kNvwENmkT1&_nc_oc=AdmlKZipk2mRyQV_c00HmMdrjPH9bfu_KK2vXIK5V5GXNTuVguepSpp2ut9qoB_0FHU0B1DeRDbhl6z_Cq8YiUXO&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=5PH2Dm592FqPpGtB-jpPag&oh=00_AfUoziN0GuDIEB0N6bCiTGyJG1O0lrcaevEHmxprQNYDiw&oe=68AEAA16,"<iframe src=""https://www.komoot.com/tour/2518238888/embed?share_token=aZfUdNSMD4WkeeWpKdQItSjQrCdhSOXs4mpMtKxHy89FhgrR5C&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Mount Rainer NP,06/10/2023,,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/514399964_10163673608937658_6237353121154133370_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=f727a1&_nc_ohc=hZHA_DJ7GogQ7kNvwFF_Rm8&_nc_oc=Adn7yqnXcCVToDE-5LinCTO6axLpPayx5_B0Hov6SCHqZVbsRnvLPbYNwHk775kmtThOU_E_L3_ZrUlz2yBFEb8H&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=SF8fuRpn512ybTWbi5ByGA&oh=00_AfWUeQv9fPGYeyIq3sUah-wwSWYVgT0_4vGIxhI6nFvoyQ&oe=68AE949C,"<iframe src=""https://www.komoot.com/tour/1160700292/embed?share_token=aco2rU2NGgIPDKrEjWEiAprYfjAUZTqW2ioqvzE4Z0CS8Z7uJF&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
Cannon Beach OR,06/09/2023,BUCKET LIST RIDE!!! I just have 2 words to say...The Goonies!,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/514421022_10163673064732658_1720167364454053718_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=f727a1&_nc_ohc=-Tnl_blJtekQ7kNvwFVcA3N&_nc_oc=Adn1xe8f479ibDHVwJiT_oDiuFVVp8ywI1_ucQGlUk9YrLh44_QUCmRUd44A1n9OBjKJXGUVeFyVVvQL5ln5ko6z&_nc_zt=23&_nc_ht=scontent-iad3-1.xx&_nc_gid=HhruFVqmZYtwXRlJY8pNsg&oh=00_AfWZqp-oOewBDwk6xwHxV-E_DWoprh6rJwNEn2iqN-1zGQ&oe=68AE9C7D,"<iframe src=""https://www.komoot.com/tour/2518216851/embed?share_token=aM6oljVCynFBmwY0AazIZmSypfSeJRkcE8Q3m0UZg45S5WhAJh&profile=1"" width=""100%"" height=""700"" frameborder=""0"" scrolling=""no""></iframe>",
